Startup_Name,Industry_Vertical,City_Location,Investors_Name,Investment_Type,Amount_In_USD
Hansel io,Consumer Internet,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4000000.00
Metro Bikes,Consumer Internet,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000.00
Phone Pe,Consumer Internet,Bengaluru,Flipkart,Private Equity,66000000.00
quizizz,Ed-Tech,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3000000.00
Happy EMI,Fin-Tech,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000.00
Inthree,Consumer Internet,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,4000000.00
Observe AI,Technology,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000.00
Enakshi,Consumer Internet,Ahemadabad,Flipkart,Seed/ Angel Funding,114811.00
EazyDiner,Consumer Internet,Gurugram,Denlow Investment Trust and Beenext,Private Equity,5850000.00
Finzy,Finance,Bengaluru,Denlow Investment Trust and Beenext,Seed / Angel Funding,1000000.00
RawPressery,Consumer Internet,Mumbai,Alteria Capital,Debt Funding,4800000.00
Pi Ventures,Technology,Bengaluru,CDC Group plc,Private Equity,6000000.00
Revv,Consumer Internet,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000.00
ZestMoney,Consumer Internet,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000.00
Shubh Loans,Fin-Tech,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000.00
MyUpchar,Healthcare,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000.00
Narvar,IT,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3000000.00
True North,Finance,Mumbai,KDDI,Private Equity,600000000.00
Leena AI,Technology,Gurugram,Y Combinator,Seed/ Angel Funding,0.00
Biryani By Kilo,Consumer Internet,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,1000000.00
Anchanto,IT,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000.00
Loan Tap,Consumer Internet,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,6250000.00
PolicyBazaar,Consumer Internet,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,27700000.00
zippserv,Consumer Internet,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,440000.00
Groww,Consumer Internet,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,1100000.00
